label,language,file_path,error_type,error_category,line,column,message,offending_symbol,source_line,feat_lang_C,feat_lang_CPP,feat_lang_Java,feat_type_LEXICAL,feat_type_SYNTAX,feat_type_NONE,feat_cat_MISSING_TOKEN,feat_cat_EXTRANEOUS_TOKEN,feat_cat_MISMATCHED_TOKEN,feat_cat_NO_VIABLE_ALT,feat_cat_UNRECOGNIZED_TOKEN,feat_cat_OTHER,feat_line_norm,feat_col_norm,feat_src_len_norm,feat_quoted_token_count,feat_msg_len_norm,feat_brace_balance_flag,feat_paren_balance_flag,feat_has_semicolon,feat_has_main,feat_hint_semicolon,feat_hint_semi,feat_hint_lbrace,feat_hint_rbrace,feat_hint_lparen,feat_hint_rparen,feat_hint_identifier,feat_hint_return,feat_hint_int,feat_hint_void,feat_hint_class,feat_hint_if,feat_hint_while,feat_hint_for,feat_hint_string,feat_language_label_norm
NO_ERROR,C,samples/c/array.c,NONE,OTHER,0,0,,,,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIX_TYPO_INT,C,samples/c/array.c,NONE,OTHER,0,0,,,,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_SEMICOLON,C,samples/c/array.c,SYNTAX,MISSING_TOKEN,11,4,missing ';' at '}',},    },1,0,0,0,1,0,1,0,0,0,0,0,0.011,0.02,0.016666666666666666,0.2,0.06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_CLOSING_BRACE,C,samples/c/array.c,SYNTAX,EXTRANEOUS_TOKEN,13,0,"extraneous input '<EOF>' expecting {'(', '{', '}', '!', '++', '--', '+', '-', '*', '&', '~', 'int', 'float', 'double', 'char', 'void', 'short', 'long', 'unsigned', 'signed', 'const', 'static', 'extern', 'register', 'volatile', 'auto', 'inline', 'restrict', 'struct', 'union', 'enum', 'if', 'while', 'do', 'for', 'switch', 'break', 'continue', 'goto', 'return', 'sizeof', 'printf', 'scanf', 'fprintf', 'fscanf', 'sprintf', 'sscanf', 'puts', 'gets', 'getchar', 'putchar', 'malloc', 'calloc', 'realloc', 'free', 'memcpy', 'memset', 'memmove', 'strlen', 'strcpy', 'strncpy', 'strcat', 'strncat', 'strcmp', 'strncmp', 'strchr', 'strstr', 'atoi', 'atof', 'atol', 'fopen', 'fclose', 'fread', 'fwrite', 'fgets', 'fputs', 'feof', 'fflush', 'rewind', 'fseek', 'ftell', 'abs', 'fabs', 'sqrt', 'pow', 'ceil', 'floor', 'rand', 'srand', 'exit', 'abort', 'assert', 'time', 'clock', 'NULL', 'true', 'false', HEX_NUMBER, OCTAL_NUMBER, FLOAT_NUMBER, NUMBER, CHAR_LITERAL, STRING, IDENTIFIER}",<EOF>,,1,0,0,0,1,0,0,1,0,0,0,0,0.013,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
ADD_SEMICOLON,C,samples/c/array.c,SYNTAX,MISSING_TOKEN,9,22,missing ';' at 'i',i,    for (i = 0; i < 5 i++) {,1,0,0,0,1,0,1,0,0,0,0,0,0.009,0.11,0.09333333333333334,0.2,0.06,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NO_ERROR,C,samples/c/calc.c,NONE,OTHER,0,0,,,,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_SEMICOLON,C,samples/c/calc.c,SYNTAX,MISSING_TOKEN,15,4,missing ';' at 'printf',printf,"    printf(""Sub: %d\n"", y);",1,0,0,0,1,0,1,0,0,0,0,0,0.015,0.02,0.09,0.2,0.07666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_CLOSING_BRACE,C,samples/c/calc.c,SYNTAX,MISSING_TOKEN,17,0,missing '}' at '<EOF>',<EOF>,,1,0,0,0,1,0,1,0,0,0,0,0,0.017,0.0,0.0,0.2,0.07333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_SEMICOLON,C,samples/c/calc.c,SYNTAX,MISSING_TOKEN,5,0,missing ';' at '}',},},1,0,0,0,1,0,1,0,0,0,0,0,0.005,0.0,0.0033333333333333335,0.2,0.06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_SEMICOLON,C,samples/c/calc.c,SYNTAX,MISSING_TOKEN,15,4,missing ';' at 'printf',printf,"    printf(""Sub: %d\n"", y);",1,0,0,0,1,0,1,0,0,0,0,0,0.015,0.02,0.09,0.2,0.07666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO_ERROR,C,samples/c/conditions.c,NONE,OTHER,0,0,,,,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_SEMICOLON,C,samples/c/conditions.c,SYNTAX,MISSING_TOKEN,12,0,missing ';' at '}',},},1,0,0,0,1,0,1,0,0,0,0,0,0.012,0.0,0.0033333333333333335,0.2,0.06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIX_TYPO_RETURN,C,samples/c/conditions.c,SYNTAX,NO_VIABLE_ALT,11,10,no viable alternative at input 'retun0',0,    retun 0;,1,0,0,0,1,0,0,0,0,1,0,0,0.011,0.05,0.04,0.1,0.13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIX_TYPO_INT,C,samples/c/conditions.c,NONE,OTHER,0,0,,,,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_SEMICOLON,C,samples/c/conditions.c,SYNTAX,MISSING_TOKEN,8,4,missing ';' at '}',},    } else {,1,0,0,0,1,0,1,0,0,0,0,0,0.008,0.02,0.04,0.2,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_CLOSING_BRACE,C,samples/c/functions.c,SYNTAX,MISMATCHED_TOKEN,11,8,"mismatched input '(' expecting {';', ','}",(,int main() {,1,0,0,0,1,0,0,0,1,0,0,0,0.011,0.04,0.04,0.3,0.13666666666666666,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_CLOSING_BRACE,C,samples/c/functions.c,SYNTAX,NO_VIABLE_ALT,16,2,no viable alternative at input 'f',<EOF>,}f,1,0,0,0,1,0,0,0,0,1,0,0,0.016,0.01,0.006666666666666667,0.1,0.11333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_SEMICOLON,C,samples/c/functions.c,SYNTAX,MISSING_TOKEN,5,0,missing ';' at '}',},},1,0,0,0,1,0,1,0,0,0,0,0,0.005,0.0,0.0033333333333333335,0.2,0.06,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_SEMICOLON,C,samples/c/functions.c,SYNTAX,NO_VIABLE_ALT,16,2,no viable alternative at input 'f',<EOF>,}f,1,0,0,0,1,0,0,0,0,1,0,0,0.016,0.01,0.006666666666666667,0.1,0.11333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMOVE_EXTRA_SEMICOLON,C,samples/c/functions.c,SYNTAX,EXTRANEOUS_TOKEN,8,21,"extraneous input ';' expecting {<EOF>, '#', '(', '{', '}', '!', '++', '--', '+', '-', '*', '&', '~', 'int', 'float', 'double', 'char', 'void', 'short', 'long', 'unsigned', 'signed', 'const', 'static', 'extern', 'register', 'volatile', 'auto', 'inline', 'restrict', 'struct', 'union', 'enum', 'typedef', 'if', 'while', 'do', 'for', 'switch', 'break', 'continue', 'goto', 'return', 'sizeof', 'printf', 'scanf', 'fprintf', 'fscanf', 'sprintf', 'sscanf', 'puts', 'gets', 'getchar', 'putchar', 'malloc', 'calloc', 'realloc', 'free', 'memcpy', 'memset', 'memmove', 'strlen', 'strcpy', 'strncpy', 'strcat', 'strncat', 'strcmp', 'strncmp', 'strchr', 'strstr', 'atoi', 'atof', 'atol', 'fopen', 'fclose', 'fread', 'fwrite', 'fgets', 'fputs', 'feof', 'fflush', 'rewind', 'fseek', 'ftell', 'abs', 'fabs', 'sqrt', 'pow', 'ceil', 'floor', 'rand', 'srand', 'exit', 'abort', 'assert', 'time', 'clock', 'NULL', 'true', 'false', HEX_NUMBER, OCTAL_NUMBER, FLOAT_NUMBER, NUMBER, CHAR_LITERAL, STRING, IDENTIFIER}",;,    return n * n * n;;,1,0,0,0,1,0,0,1,0,0,0,0,0.008,0.105,0.07333333333333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
REMOVE_EXTRA_SEMICOLON,C,samples/c/functions.c,SYNTAX,NO_VIABLE_ALT,16,2,no viable alternative at input 'f',<EOF>,}f,1,0,0,0,1,0,0,0,0,1,0,0,0.016,0.01,0.006666666666666667,0.1,0.11333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_SEMICOLON,C,samples/c/functions.c,SYNTAX,MISMATCHED_TOKEN,13,4,"mismatched input 'printf' expecting {';', ','}",printf,"    printf(""Square: %d\n"", square(a));",1,0,0,0,1,0,0,0,1,0,0,0,0.013,0.02,0.12666666666666668,0.3,0.15333333333333332,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD_SEMICOLON,C,samples/c/functions.c,SYNTAX,NO_VIABLE_ALT,16,2,no viable alternative at input 'f',<EOF>,}f,1,0,0,0,1,0,0,0,0,1,0,0,0.016,0.01,0.006666666666666667,0.1,0.11333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIX_TYPO_RETURN,C,samples/c/hello.c,SYNTAX,MISMATCHED_TOKEN,5,4,"mismatched input 'int' expecting {';', ','}",int,    int y=20,1,0,0,0,1,0,0,0,1,0,0,0,0.005,0.02,0.04,0.3,0.14333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIX_TYPO_RETURN,C,samples/c/hello.c,SYNTAX,MISMATCHED_TOKEN,6,4,"mismatched input 'printf' expecting {';', ','}",printf,"    printf(""%d\n"", x);",1,0,0,0,1,0,0,0,1,0,0,0,0.006,0.02,0.07333333333333333,0.3,0.15333333333333332,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIX_TYPO_RETURN,C,samples/c/hello.c,SYNTAX,NO_VIABLE_ALT,7,10,no viable alternative at input 'retun0',0,    retun 0;,1,0,0,0,1,0,0,0,0,1,0,0,0.007,0.05,0.04,0.1,0.13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMOVE_EXTRA_SEMICOLON,C,samples/c/hello.c,SYNTAX,MISMATCHED_TOKEN,5,4,"mismatched input 'int' expecting {';', ','}",int,    int y=20,1,0,0,0,1,0,0,0,1,0,0,0,0.005,0.02,0.04,0.3,0.14333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMOVE_EXTRA_SEMICOLON,C,samples/c/hello.c,SYNTAX,MISMATCHED_TOKEN,6,4,"mismatched input 'printf' expecting {';', ','}",printf,"    printf(""%d\n"", x);;",1,0,0,0,1,0,0,0,1,0,0,0,0.006,0.02,0.07666666666666666,0.3,0.15333333333333332,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
